Date,Open,High,Low,Close,Volume,Symbol
2016-01-04,23.13536656617872,23.75766128175527,22.997830384109424,23.753150939941406,270597600,AAPL
2016-01-05,23.84334091401202,23.86588746445505,23.09027546402736,23.157915115356445,223164000,AAPL
2016-01-06,22.673159746380428,23.08125976393585,22.517587322188593,22.70472526550293,273829600,AAPL
2016-01-07,22.24928334392453,22.57621274045367,21.741978040225575,21.74648666381836,324377600,AAPL
2016-01-08,22.219959979283978,22.34622200825535,21.81637045646062,21.86146354675293,283192000,AAPL
2016-01-11,22.314664816099555,22.334956198234906,21.947149284524944,22.215457916259766,198957600,AAPL
2016-01-12,22.670903704702315,22.702469220218045,22.28535028483298,22.53787612915039,196616800,AAPL
2016-01-13,22.619039929462637,22.815198491300194,21.938124609843808,21.958415985107422,249758400,AAPL
2016-01-14,22.08693068246827,22.6551132080456,21.586389507142382,22.438661575317383,252680400,AAPL
2016-01-15,21.6901131464518,22.030571755861573,21.500720046769526,21.899799346923828,319335600,AAPL
2016-01-19,22.18840155832223,22.24251362799293,21.532286047822236,21.79383087158203,212350800,AAPL
2016-01-20,21.442092378604062,22.13879218491175,21.063304551920083,21.823135375976562,289337600,AAPL
2016-01-21,21.884014993459072,22.06889945737359,21.406021936612106,21.71265983581543,208646000,AAPL
2016-01-22,22.238001152410096,22.876078671753593,22.179380465969416,22.8670597076416,263202000,AAPL
2016-01-25,22.889603538102705,22.891858708910625,22.36877089390849,22.420629501342773,207178000,AAPL
2016-01-26,22.53110818860021,22.74530296448651,22.111735879436683,22.544635772705078,300308000,AAPL
2016-01-27,21.654034057349705,21.787059886927032,21.045266975698283,21.063304901123047,533478800,AAPL
2016-01-28,21.146725377076802,21.31131668772847,20.831068617227594,21.214365005493164,222715200,AAPL
2016-01-29,21.372196991080568,21.947141647338867,21.272990125762874,21.947141647338867,257666000,AAPL
2016-02-01,21.75098902632416,21.80510109054244,21.509737328119584,21.74197006225586,163774000,AAPL
2016-02-02,21.514250624587643,21.654042017732312,21.257216113464004,21.302310943603516,149428800,AAPL
